COUNT,LAT,LONG
4,49.2151977376467,-123.104604799476
5,49.215229676872,-123.107256472104
2,49.2143038649803,-123.103096752017
15,49.209350243932,-123.111032470621
7,49.2095048847044,-123.100890432367
6,49.209514937306,-123.101725886495
1,49.2115743436992,-123.106127150675
3,49.2101360923886,-123.102667651709
1,49.2125675292369,-123.103150479606
2,49.2078025237472,-123.104584035436
1,49.2836529781551,-123.103457475669
3,49.2834763425536,-123.101220026592
6,49.2826294228942,-123.101185692107
7,49.2826564899854,-123.103168677759
8,49.2817624041887,-123.103361274129
9,49.2817276444457,-123.101230183398
26,49.2826178745847,-123.11130008465
27,49.2822032147919,-123.110249313735
11,49.2833066096019,-123.110115647663
12,49.2839640838154,-123.111215717751
10,49.2841050564141,-123.109681499252
8,49.2848812271153,-123.110140508587
9,49.2846868898482,-123.109255672349
28,49.2818060317788,-123.108664479004
29,49.2811952281503,-123.106348434561
18,49.2811406562335,-123.105068170574
3,49.2820368766996,-123.10544899003
4,49.2825962199523,-123.108216263578
1162,49.2173992124807,-123.108967233375
1,49.2288036248067,-123.102689872359
4,49.2279113692103,-123.102667009062
3,49.2279518927122,-123.104800838044
2,49.2271813067692,-123.102674835871
1063,49.2308175929958,-123.109798526162
1103,49.2289322139696,-123.109438034697
240,49.2682130175211,-123.139957493961
239,49.2682774815478,-123.142288503542
9,49.2339794017688,-123.157133633186
8,49.2330729823107,-123.15724199353
7,49.2321958522781,-123.157309908307
1,49.2319701691295,-123.165204611591
2,49.2319479896183,-123.16373684925
3,49.2319648066891,-123.162036393381
4,49.2319668094891,-123.160621594034
5,49.2319390998338,-123.159208086425
7,49.2358637702719,-123.156910231371
6,49.2312343712739,-123.15735306212
9,49.2302572060641,-123.157386893101
8,49.229333431625,-123.157391334458
7,49.2284419965547,-123.157394642281
6,49.2275238141362,-123.15722274873
5,49.2281527616747,-123.159415937643
4,49.2280609737905,-123.16098578674
2,49.2334434845831,-123.145462888799
137,49.27038115516,-123.210599325275
20,49.2698395287672,-123.174824877893
26,49.2687608958497,-123.174890511722
30,49.2680766878336,-123.174829054778
28,49.2688788028538,-123.169734810656
27,49.2689178441605,-123.172515066352
14,49.2319244168322,-123.17833393984
23,49.2529862694642,-123.180515367603
18,49.2529875182211,-123.177684696094
64,49.2453402390711,-123.180516332647
73,49.2472438817298,-123.180379029128
84,49.2491486769132,-123.180355766546
83,49.249159356307,-123.183286610432
74,49.2472748050794,-123.183578454064
63,49.2453574545522,-123.183571318409
62,49.2453764445708,-123.18685860794
75,49.2472583690965,-123.186522234936
